k,f,viab,rho,x_0,x_1,h_0
1,200.97334514239083,0.09708554365452642,10.0,1.1876756387443735e-05,8.644093476314744e-05,0.09708554365452642
2,200.97334514239083,0.09708554365452642,100.0,1.1876756387443735e-05,8.644093476314744e-05,0.09708554365452642
3,200.97334514239083,0.09708554365452642,1000.0,1.1876756387443735e-05,8.644093476314744e-05,0.09708554365452642
4,200.97334514239083,0.09708554365452642,10000.0,1.1876756387443735e-05,8.644093476314744e-05,0.09708554365452642
5,200.97334514239083,0.09708554365452642,100000.0,1.1876756387443735e-05,8.644093476314744e-05,0.09708554365452642
6,364.13575961274796,0.05268714400141779,1000000.0,0.008273957879347565,0.008305411778505764,0.05268714400141779
7,707.6109960276392,0.02629961762527764,1000000.0,0.028238775990612097,0.023035061991977718,0.02629961762527764
8,981.8567121088166,0.01831626314336176,10000000.0,0.041440092527163984,0.03753533293837305,0.01831626314336176
9,1230.6632304046707,0.014383467024412537,100000000.0,0.04498217875894331,0.05912521825162949,0.014383467024412537
10,3352.361727992071,0.0070650196391413775,100000000.0,0.2586587002991023,0.05976167626575336,0.0070650196391413775
11,4605.639823067779,0.0023276099495170652,100000000.0,0.21499677324246252,0.2300173502997373,0.0023276099495170652
12,5128.402598861248,0.0018830425645798656,1000000000.0,0.2493452904355682,0.2484731538938508,0.0018830425645798656
13,6743.451581616993,0.0009531850650065028,10000000000.0,0.332332467905942,0.32862223730789575,0.0009531850650065028
14,9199.759514939793,0.00016465671953031467,10000000000.0,0.4564957628817455,0.45257085478894077,0.00016465671953031467
15,9199.759514939793,0.00016465671953031467,100000000000.0,0.4564957628817455,0.45257085478894077,0.00016465671953031467
16,9962.795163527575,1.203294371458167e-06,100000000000.0,0.49088016152381897,0.49526076408502695,-1.203294371458167e-06
